x1,y1,x2,y2,intensity
-1,0.5,-1.04993,0.502579,2.35941e-08
-1.04993,0.502579,-1.09843,0.514764,1e-07
-1.09843,0.514764,-1.14754,0.524143,0
-1.14754,0.524143,-1.19549,0.538296,1e-07
-1.19549,0.538296,-1.24454,0.548007,0
-1.24454,0.548007,-1.29401,0.555249,1e-07
-1.29401,0.555249,-1.34068,0.573207,0
-1.34068,0.573207,-1.38806,0.589167,1e-07
-1.38806,0.589167,-1.43767,0.595383,0
-1.43767,0.595383,-1.48748,0.590947,1e-07
-1.48748,0.590947,-1.53703,0.584261,0
-1.53703,0.584261,-1.58702,0.583442,1e-07
-1.58702,0.583442,-1.6361,0.593019,0
-1.6361,0.593019,-1.68603,0.590392,1e-07
-1.68603,0.590392,-1.73601,0.589174,0
-1.73601,0.589174,-1.78564,0.595285,1e-07
-1.78564,0.595285,-1.83496,0.603503,0
-1.83496,0.603503,-1.88215,0.620019,1e-07
-1.88215,0.620019,-1.93149,0.62813,0
-1.93149,0.62813,-1.98037,0.638665,1e-07
-1.98037,0.638665,-2.02526,0.660673,0
-2.02526,0.660673,-2.07114,0.680555,7.63531e-08
-1,0.5,-1.01841,0.546486,2.35941e-08
-1.01841,0.546486,-1.04175,0.590708,1e-07
-1.04175,0.590708,-1.07286,0.62985,0
-1.07286,0.62985,-1.10432,0.668709,1e-07
-1.10432,0.668709,-1.13924,0.704497,0
-1.13924,0.704497,-1.1803,0.733021,1e-07
-1.1803,0.733021,-1.21996,0.76348,0
-1.21996,0.76348,-1.26178,0.790876,1e-07
-1.26178,0.790876,-1.30768,0.8107,0
-1.30768,0.8107,-1.34887,0.839052,1e-07
-1.34887,0.839052,-1.39505,0.858213,0
-1.39505,0.858213,-1.44333,0.87123,1e-07
-1.44333,0.87123,-1.49195,0.882902,0
-1.49195,0.882902,-1.54171,0.887733,1e-07
-1.54171,0.887733,-1.59166,0.885489,0
-1.59166,0.885489,-1.64081,0.876321,1e-07
-1.64081,0.876321,-1.6896,0.865374,0
-1.6896,0.865374,-1.73578,0.846214,1e-07
-1.73578,0.846214,-1.78116,0.825204,0
-1.78116,0.825204,-1.81996,0.793452,6.74758e-08
-1,0.5,-1.04949,0.492864,2.35941e-08
-1.04949,0.492864,-1.09669,0.476365,1e-07
-1.09669,0.476365,-1.14457,0.461957,0
-1.14457,0.461957,-1.19378,0.453131,1e-07
-1.19378,0.453131,-1.24375,0.45498,0
-1.24375,0.45498,-1.29373,0.456143,1e-07
-1.29373,0.456143,-1.3434,0.450396,0
-1.3434,0.450396,-1.39205,0.43886,1e-07
-1.39205,0.43886,-1.44048,0.42641,0
-1.44048,0.42641,-1.48422,0.40219,1e-07
-1.48422,0.40219,-1.52899,0.379935,0
-1.52899,0.379935,-1.5763,0.363732,1e-07
-1.5763,0.363732,-1.61928,0.338189,0
-1.61928,0.338189,-1.66379,0.315412,1e-07
-1.66379,0.315412,-1.71235,0.303513,0
-1.71235,0.303513,-1.75929,0.286283,1e-07
-1.75929,0.286283,-1.80803,0.275111,0
-1.80803,0.275111,-1.85399,0.255435,1e-07
-1.85399,0.255435,-1.89769,0.231133,0
-1.89769,0.231133,-1.93931,0.203427,1e-07
-1.93931,0.203427,-1.98489,0.182875,0
-1.98489,0.182875,-2.02763,0.156916,1e-07
-2.02763,0.156916,-2.07345,0.136917,0
-2.07345,0.136917,-2.11426,0.108028,9.78165e-08
-2.11426,0.108028,-2.15598,0.0804613,0
-2.15598,0.0804613,-2.20254,0.0622519,2.92002e-08
-2.20254,0.0622519,-2.25201,0.0549986,2.25026e-10
-1,0.5,-0.995671,0.450188,2.35941e-08
-0.995671,0.450188,-0.987296,0.400894,1e-07
-0.987296,0.400894,-0.982839,0.351093,0
-0.982839,0.351093,-0.984874,0.301135,1e-07
-0.984874,0.301135,-0.991763,0.251611,0
-0.991763,0.251611,-1.01024,0.205149,1e-07
-1.01024,0.205149,-1.03491,0.161664,0
-1.03491,0.161664,-1.05691,0.116763,1e-07
-1.05691,0.116763,-1.0784,0.0716164,0
-1.0784,0.0716164,-1.0934,0.0239182,1e-07
-1.0934,0.0239182,-1.10694,-0.0242124,0
-1.10694,-0.0242124,-1.12862,-0.069268,1e-07
-1.12862,-0.069268,-1.14589,-0.116192,0
-1.14589,-0.116192,-1.17325,-0.158043,1e-07
-1.17325,-0.158043,-1.21042,-0.191483,0
-1.21042,-0.191483,-1.23982,-0.231923,1e-07
-1.23982,-0.231923,-1.26962,-0.272072,0
-1.26962,-0.272072,-1.29242,-0.316575,1e-07
-1.29242,-0.316575,-1.31382,-0.361761,0
-1.31382,-0.361761,-1.33941,-0.404714,6.53489e-08
-1.33941,-0.404714,-1.36928,-0.444812,0
-1.36928,-0.444812,-1.39581,-0.487195,2.67064e-09
-1.39581,-0.487195,-1.41778,-0.532112,1.33532e-09
-1,0.5,-1.01955,0.453982,2.35941e-08
-1.01955,0.453982,-1.04027,0.408475,1e-07
-1.04027,0.408475,-1.05775,0.361632,0
-1.05775,0.361632,-1.06539,0.312219,1e-07
-1.06539,0.312219,-1.06665,0.262234,0
-1.06665,0.262234,-1.06679,0.212235,1e-07
-1.06679,0.212235,-1.06042,0.162642,0
-1.06042,0.162642,-1.05189,0.113375,1e-07
-1.05189,0.113375,-1.0395,0.064935,0
