step,solver,pc,trial,runtime_ms
10,cg,gamg,1,683.761
10,cg,gamg,2,677.212
10,cg,gamg,3,688.302
10,cg,gamg,4,680.03
10,cg,gamg,5,685.456
10,bcgs,jacobi,1,321.377
10,bcgs,jacobi,2,322.344
10,bcgs,jacobi,3,317.833
10,bcgs,jacobi,4,326.982
10,bcgs,jacobi,5,321.247
10,bcgs,sor,1,211.81
10,bcgs,sor,2,211.883
10,bcgs,sor,3,213.78
10,bcgs,sor,4,213.801
10,bcgs,sor,5,213.297
10,bcgs,ilu,1,248.274
10,bcgs,ilu,2,238.945
10,bcgs,ilu,3,230.481
10,bcgs,ilu,4,232.187
10,bcgs,ilu,5,226.265
10,bcgs,icc,1,172.42
10,bcgs,icc,2,171.182
10,bcgs,icc,3,168.64
10,bcgs,icc,4,169.602
10,bcgs,icc,5,170.356
10,bcgs,gamg,1,643.619
10,bcgs,gamg,2,668.825
10,bcgs,gamg,3,653.701
10,bcgs,gamg,4,669.456
10,bcgs,gamg,5,659.746
10,gmres,jacobi,1,692.069
10,gmres,jacobi,2,687.111
10,gmres,jacobi,3,685.583
10,gmres,jacobi,4,690.079
10,gmres,jacobi,5,687.43
10,gmres,sor,1,341.345
10,gmres,sor,2,342.574
10,gmres,sor,3,339.157
10,gmres,sor,4,341.122
10,gmres,sor,5,343.905
10,gmres,ilu,1,392.766
10,gmres,ilu,2,398.434
10,gmres,ilu,3,409.723
10,gmres,ilu,4,395.123
10,gmres,ilu,5,408.07
10,gmres,icc,1,322.559
10,gmres,icc,2,319.554
10,gmres,icc,3,319.737
10,gmres,icc,4,319.349
10,gmres,icc,5,323.082
10,gmres,gamg,1,823.71
10,gmres,gamg,2,837.735
10,gmres,gamg,3,813.593
10,gmres,gamg,4,827.029
10,gmres,gamg,5,832.662
11,cg,jacobi,1,328.861
11,cg,jacobi,2,338.913
11,cg,jacobi,3,340.599
11,cg,jacobi,4,348.481
11,cg,jacobi,5,346.25
11,cg,sor,1,171.755
11,cg,sor,2,169.007
11,cg,sor,3,172.129
11,cg,sor,4,173.762
11,cg,sor,5,176.892
11,cg,ilu,1,224.517
11,cg,ilu,2,216.102
11,cg,ilu,3,210.209
11,cg,ilu,4,233.689
11,cg,ilu,5,224.433
11,cg,icc,1,167.1
11,cg,icc,2,169.913
11,cg,icc,3,164.546
11,cg,icc,4,166.035
11,cg,icc,5,166.799
11,cg,gamg,1,690.199
11,cg,gamg,2,699.611
11,cg,gamg,3,676.787
11,cg,gamg,4,689.007
11,cg,gamg,5,693.977
11,bcgs,jacobi,1,278.59
11,bcgs,jacobi,2,279.075
11,bcgs,jacobi,3,281.677
11,bcgs,jacobi,4,282.606
11,bcgs,jacobi,5,279.492
11,bcgs,sor,1,241.881
11,bcgs,sor,2,240.075
11,bcgs,sor,3,240.474
11,bcgs,sor,4,235.13
11,bcgs,sor,5,238.965
11,bcgs,ilu,1,270.662
11,bcgs,ilu,2,257.024
11,bcgs,ilu,3,247.634
11,bcgs,ilu,4,240.924
11,bcgs,ilu,5,253.887
11,bcgs,icc,1,169.784
11,bcgs,icc,2,172.771
11,bcgs,icc,3,170.363
11,bcgs,icc,4,170.553
11,bcgs,icc,5,170.255
11,bcgs,gamg,1,721.726
11,bcgs,gamg,2,731.586
11,bcgs,gamg,3,727.444
11,bcgs,gamg,4,736.05
11,bcgs,gamg,5,723.666
